hex_id,lat,lon
872a8b1a8ffffff,36.24601031027986,-79.68722860607686
872a8b180ffffff,36.25801380629912,-79.75764593588305
872a8b185ffffff,36.26012751336006,-79.73056054315335
872a8b1aeffffff,36.262235221590274,-79.70347229783258
872a8b186ffffff,36.27423179175238,-79.7739164734996
872a8b184ffffff,36.276349842000975,-79.74682301782448
872a8b1a3ffffff,36.27846188925246,-79.71972670049485
872a8b1a1ffffff,36.2805679311519,-79.69262753317955
872a8b1b1ffffff,36.29257391452447,-79.76309621176945
872a8b1a2ffffff,36.294690306582496,-79.73599182204215
872a8b1adffffff,36.24810768826716,-79.66014560047827
872a8b11effffff,36.25019906691967,-79.63305977465029
872a8b11cffffff,36.252284443914796,-79.60597114026052
872a8b1acffffff,36.264336928642244,-79.67638121158154
872a8b113ffffff,36.26643263217716,-79.64928729606855
872a8b111ffffff,36.26852232986515,-79.62219056296937
872a8b112ffffff,36.28266796535318,-79.66552552755502
872a8b110ffffff,36.28476198951898,-79.63842069530524
872a8b115ffffff,36.28685000132081,-79.61131304812163
872a8b1a5ffffff,36.29890505977086,-79.68177447710494
872a8b103ffffff,36.254363816938735,-79.57887970898408
872a8b101ffffff,36.25643718368651,-79.55178549250341
872a8b102ffffff,36.270606019385035,-79.59509102396726
872a8b100ffffff,36.2726836984245,-79.56798869075297
872a8b105ffffff,36.27475536468007,-79.54088357502457
872a8b106ffffff,36.288931998439004,-79.58420259770311
872a8b104ffffff,36.29100797856274,-79.55708935575608
872a8b123ffffff,36.29307793939005,-79.52997333399425
872a8b133ffffff,36.30518207706394,-79.60042722137406
872a8b131ffffff,36.30726237684751,-79.57330585273138
872a8b1a0ffffff,36.296800689115805,-79.70888457325916
872a8b1b5ffffff,36.310920466886515,-79.75226767045666
872a8b1a6ffffff,36.31303519584359,-79.72515233981085
872a8b1a4ffffff,36.315143908743465,-79.69803415271723
872a8b1b4ffffff,36.32715236346075,-79.76855425372412
872a8bc5bffffff,36.329271444635054,-79.74143084082884
872a8bc59ffffff,36.33138450557433,-79.71430456239435
872a8bc4affffff,36.33349154391902,-79.68717543012905
872a8bc5affffff,36.34550942878003,-79.75772008431086
872a8bc58ffffff,36.34762684355678,-79.73058571414255
872a8b116ffffff,36.30100341620301,-79.65466154527171
872a8b114ffffff,36.303095756076374,-79.62754578945903
872a8bc4bffffff,36.31724660323406,-79.67091312087601
